Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0585100,"Orange Juice",AS,"Australia",1983,1984,00,125,"Domestic Consumption",21,"(MT)",211200.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,088,"Exports",21,"(MT)",2100.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,057,"Imports",21,"(MT)",73400.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,028,"Production",21,"(MT)",139900.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,178,"Total Distribution",21,"(MT)",213300.0000
0585100,"Orange Juice",AS,"Australia",1983,1984,00,086,"Total Supply",21,"(MT)",213300.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,125,"Domestic Consumption",21,"(MT)",196453.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,088,"Exports",21,"(MT)",4000.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,057,"Imports",21,"(MT)",54853.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,028,"Production",21,"(MT)",145600.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,178,"Total Distribution",21,"(MT)",200453.0000
0585100,"Orange Juice",AS,"Australia",1984,1985,00,086,"Total Supply",21,"(MT)",200453.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,125,"Domestic Consumption",21,"(MT)",168948.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,088,"Exports",21,"(MT)",3941.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,057,"Imports",21,"(MT)",34951.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,028,"Production",21,"(MT)",137938.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,178,"Total Distribution",21,"(MT)",172889.0000
0585100,"Orange Juice",AS,"Australia",1985,1986,00,086,"Total Supply",21,"(MT)",172889.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,125,"Domestic Consumption",21,"(MT)",19891.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,176,"Ending Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,088,"Exports",21,"(MT)",1060.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,057,"Imports",21,"(MT)",1621.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,028,"Production",21,"(MT)",19330.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,178,"Total Distribution",21,"(MT)",20951.0000
0585100,"Orange Juice",AS,"Australia",1986,1987,00,086,"Total Supply",21,"(MT)",20951.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,020,"Beginning Stocks",21,"(MT)",0.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,125,"Domestic Consumption",21,"(MT)",27787.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,176,"Ending Stocks",21,"(MT)",9822.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,088,"Exports",21,"(MT)",2003.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,057,"Imports",21,"(MT)",22659.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,028,"Production",21,"(MT)",16953.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,178,"Total Distribution",21,"(MT)",39612.0000
0585100,"Orange Juice",AS,"Australia",1987,1988,00,086,"Total Supply",21,"(MT)",39612.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,020,"Beginning Stocks",21,"(MT)",9822.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,125,"Domestic Consumption",21,"(MT)",30200.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,176,"Ending Stocks",21,"(MT)",11724.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,088,"Exports",21,"(MT)",1596.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,057,"Imports",21,"(MT)",10993.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,028,"Production",21,"(MT)",22705.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,178,"Total Distribution",21,"(MT)",43520.0000
0585100,"Orange Juice",AS,"Australia",1988,1989,00,086,"Total Supply",21,"(MT)",43520.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,020,"Beginning Stocks",21,"(MT)",11724.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,125,"Domestic Consumption",21,"(MT)",27845.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,176,"Ending Stocks",21,"(MT)",7787.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,088,"Exports",21,"(MT)",1636.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,057,"Imports",21,"(MT)",5532.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,028,"Production",21,"(MT)",20012.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,178,"Total Distribution",21,"(MT)",37268.0000
0585100,"Orange Juice",AS,"Australia",1989,1990,00,086,"Total Supply",21,"(MT)",37268.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,020,"Beginning Stocks",21,"(MT)",7787.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,125,"Domestic Consumption",21,"(MT)",27669.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,176,"Ending Stocks",21,"(MT)",14882.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,088,"Exports",21,"(MT)",988.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,057,"Imports",21,"(MT)",14284.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,028,"Production",21,"(MT)",21468.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,178,"Total Distribution",21,"(MT)",43539.0000
0585100,"Orange Juice",AS,"Australia",1990,1991,00,086,"Total Supply",21,"(MT)",43539.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,020,"Beginning Stocks",21,"(MT)",14882.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,125,"Domestic Consumption",21,"(MT)",32803.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,176,"Ending Stocks",21,"(MT)",17309.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,088,"Exports",21,"(MT)",998.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,057,"Imports",21,"(MT)",6975.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,028,"Production",21,"(MT)",29253.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,178,"Total Distribution",21,"(MT)",51110.0000
0585100,"Orange Juice",AS,"Australia",1991,1992,00,086,"Total Supply",21,"(MT)",51110.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,020,"Beginning Stocks",21,"(MT)",17309.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,125,"Domestic Consumption",21,"(MT)",34684.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,176,"Ending Stocks",21,"(MT)",17371.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,088,"Exports",21,"(MT)",1174.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,057,"Imports",21,"(MT)",11178.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,028,"Production",21,"(MT)",24742.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,178,"Total Distribution",21,"(MT)",53229.0000
0585100,"Orange Juice",AS,"Australia",1992,1993,00,086,"Total Supply",21,"(MT)",53229.0000
0585100,"Orange Juice",AS,"Australia",1993,1994,00,020,"Beginning Stocks",21,"(MT)",17371.0000
